epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,471.514,1.31036,1.23647,2.33618,0.886,0.66279,0.73165,0.56713,1.9175,2.092,2.99778,0.0012476,0.0012476,0.0012476
59,496.794,1.26604,1.23807,2.3164,0.88223,0.69767,0.75276,0.58456,1.82906,1.9414,2.8729,0.0012344,0.0012344,0.0012344
60,521.582,1.26831,1.18609,2.29829,0.8798,0.7093,0.77712,0.58856,1.81366,1.79161,2.96628,0.0012212,0.0012212,0.0012212
61,546.208,1.26934,1.23134,2.31553,0.85451,0.61468,0.73718,0.55953,1.95368,2.21294,2.97431,0.001208,0.001208,0.001208
62,570.957,1.24394,1.16962,2.3053,0.88028,0.68404,0.75152,0.59134,1.78432,2.16117,2.85193,0.0011948,0.0011948,0.0011948
63,595.571,1.24468,1.15127,2.29816,0.82746,0.62791,0.72793,0.55184,1.81578,2.21876,2.85335,0.0011816,0.0011816,0.0011816
64,620.417,1.23185,1.10757,2.2954,0.85565,0.68931,0.7835,0.61605,1.67602,1.90796,2.77048,0.0011684,0.0011684,0.0011684
65,645.712,1.24023,1.17807,2.29085,0.74911,0.66279,0.73269,0.56988,1.78499,2.18727,2.82114,0.0011552,0.0011552,0.0011552
66,670.353,1.19545,1.12594,2.25319,0.84515,0.65116,0.73946,0.57812,1.90514,2.11344,2.97707,0.001142,0.001142,0.001142
67,694.82,1.20646,1.11448,2.26816,0.84703,0.63953,0.7442,0.56326,1.83764,2.11498,2.91214,0.0011288,0.0011288,0.0011288
68,719.529,1.19958,1.09166,2.25908,0.841,0.61506,0.72244,0.57078,1.83586,2.26013,2.84044,0.0011156,0.0011156,0.0011156
69,744.291,1.20552,1.10467,2.27785,0.76741,0.73256,0.76945,0.59381,1.79071,2.08705,2.98647,0.0011024,0.0011024,0.0011024
70,768.802,1.17356,1.08309,2.2574,0.80387,0.71492,0.76137,0.59245,1.7648,2.0349,2.85827,0.0010892,0.0010892,0.0010892
71,24.6291,1.1648,1.0978,2.24466,0.84992,0.65856,0.74288,0.59174,1.83223,2.01607,2.95327,0.001076,0.001076,0.001076
72,49.6021,1.12241,1.02096,2.20562,0.88831,0.6474,0.74999,0.56537,1.93474,2.07791,3.02047,0.0010628,0.0010628,0.0010628
73,24.3096,1.01847,0.94001,2.14722,0.84995,0.65116,0.74664,0.56634,1.97144,2.12603,3.18843,0.0010496,0.0010496,0.0010496
74,48.7844,0.98181,0.85756,2.10789,0.82029,0.5814,0.68089,0.52884,1.90182,2.43394,3.08008,0.0010364,0.0010364,0.0010364
75,72.9267,1.08419,0.9676,2.19511,0.72358,0.66279,0.70817,0.56488,1.89448,2.25834,2.97092,0.0010232,0.0010232,0.0010232
76,97.2183,1.08713,0.9757,2.19044,0.83197,0.63953,0.73453,0.59283,1.84003,2.05805,2.91953,0.00101,0.00101,0.00101
77,121.396,1.09935,0.9941,2.19296,0.76026,0.61628,0.69869,0.50532,2.10166,2.52389,3.24428,0.0009968,0.0009968,0.0009968
78,146.184,1.0665,0.96692,2.18114,0.8923,0.67438,0.76512,0.57644,1.99894,2.1415,3.20659,0.0009836,0.0009836,0.0009836
79,170.784,1.05242,0.94009,2.1661,0.71801,0.7106,0.75853,0.57581,1.8679,2.14917,3.01383,0.0009704,0.0009704,0.0009704
80,24.616,0.99997,0.90112,2.13425,0.88117,0.60361,0.7513,0.59813,1.97784,2.28154,3.10371,0.0009572,0.0009572,0.0009572
81,49.5029,0.93413,0.81708,2.07868,0.87345,0.65116,0.77169,0.59502,1.86649,2.15585,3.0668,0.000944,0.000944,0.000944
82,74.4829,0.94775,0.81919,2.1082,0.85593,0.65116,0.7415,0.60134,1.84222,2.3832,3.00024,0.0009308,0.0009308,0.0009308
83,99.0929,0.95527,0.82976,2.10443,0.82144,0.66279,0.73437,0.568,2.01809,2.3042,3.29791,0.0009176,0.0009176,0.0009176
84,123.607,0.96685,0.86491,2.10643,0.7878,0.63953,0.71749,0.56125,1.93098,2.35829,3.13224,0.0009044,0.0009044,0.0009044
85,147.926,0.94585,0.828,2.10042,0.81152,0.70094,0.74071,0.58706,1.87216,2.14049,3.10813,0.0008912,0.0008912,0.0008912
