epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,3196.75,0.47788,0.44082,1.06737,0.803,0.61616,0.69826,0.52813,0.95499,1.24581,1.63803,0.0006932,0.0006932,0.0006932
68,3243.96,0.47393,0.44302,1.06955,0.8219,0.60465,0.7002,0.51851,0.9608,1.24426,1.6473,0.0006734,0.0006734,0.0006734
69,3293.3,0.47665,0.43003,1.06841,0.74892,0.68605,0.72134,0.55166,0.93951,1.19331,1.57689,0.0006536,0.0006536,0.0006536
70,3342.7,0.46098,0.41919,1.05752,0.82531,0.62791,0.72781,0.55894,0.85862,1.12603,1.51739,0.0006338,0.0006338,0.0006338
71,3390.73,0.45393,0.41875,1.05636,0.75757,0.69767,0.69698,0.54511,0.87265,1.09404,1.50856,0.000614,0.000614,0.000614
72,3439.06,0.45551,0.41265,1.05475,0.85505,0.63953,0.69589,0.53843,0.84031,1.2106,1.43258,0.0005942,0.0005942,0.0005942
73,3486.75,0.45651,0.40557,1.05933,0.80811,0.60465,0.69005,0.5419,0.9184,1.13334,1.56018,0.0005744,0.0005744,0.0005744
74,3535.69,0.45156,0.41286,1.0516,0.76666,0.63953,0.63972,0.51344,0.878,1.26092,1.55234,0.0005546,0.0005546,0.0005546
75,3582.87,0.44435,0.40607,1.05172,0.72878,0.65116,0.67954,0.52477,0.9156,1.16339,1.54933,0.0005348,0.0005348,0.0005348
76,3631.67,0.4483,0.39918,1.04712,0.83642,0.62791,0.72225,0.56239,0.89372,1.1671,1.55202,0.000515,0.000515,0.000515
77,3678.84,0.43971,0.39559,1.0466,0.78315,0.63953,0.68395,0.52752,0.91592,1.15835,1.57771,0.0004952,0.0004952,0.0004952
78,3726.74,0.43194,0.39085,1.04234,0.77974,0.63953,0.69335,0.53221,0.93796,1.158,1.58881,0.0004754,0.0004754,0.0004754
79,3774.87,0.43075,0.38795,1.03818,0.82906,0.62791,0.68212,0.51933,0.94247,1.2145,1.63049,0.0004556,0.0004556,0.0004556
80,3822.26,0.43678,0.39376,1.04657,0.8498,0.59212,0.68287,0.51724,0.8966,1.24931,1.57117,0.0004358,0.0004358,0.0004358
81,3869.22,0.43225,0.38857,1.04147,0.84817,0.60465,0.68464,0.52909,0.90549,1.28595,1.55724,0.000416,0.000416,0.000416
82,3917.17,0.42848,0.38025,1.03357,0.81305,0.63953,0.69392,0.53834,0.8873,1.19028,1.54689,0.0003962,0.0003962,0.0003962
83,3964.21,0.41163,0.37578,1.03233,0.71117,0.7093,0.69459,0.53714,0.94828,1.17062,1.61104,0.0003764,0.0003764,0.0003764
84,4010.92,0.41587,0.37373,1.03382,0.79058,0.63953,0.69379,0.53681,0.89077,1.26083,1.57801,0.0003566,0.0003566,0.0003566
85,4058.64,0.40569,0.36051,1.01855,0.77116,0.63953,0.6902,0.52796,0.92444,1.25927,1.63342,0.0003368,0.0003368,0.0003368
86,4105.29,0.40182,0.35778,1.02331,0.81217,0.61628,0.69534,0.53967,0.90404,1.17824,1.60144,0.000317,0.000317,0.000317
87,4152.14,0.40981,0.36641,1.03638,0.86847,0.61425,0.70057,0.5354,0.96181,1.36232,1.67565,0.0002972,0.0002972,0.0002972
88,4199.96,0.39548,0.35035,1.02191,0.78165,0.63953,0.68968,0.52644,0.92209,1.3949,1.58326,0.0002774,0.0002774,0.0002774
89,4247.09,0.39698,0.36587,1.02039,0.77064,0.66421,0.68823,0.52633,0.92593,1.30558,1.63406,0.0002576,0.0002576,0.0002576
90,4294.32,0.39379,0.34849,1.0211,0.83063,0.66279,0.71312,0.54789,0.86958,1.21978,1.54595,0.0002378,0.0002378,0.0002378
91,4343.37,0.31581,0.30449,0.95433,0.82205,0.62791,0.67762,0.52391,0.88261,1.20889,1.57734,0.000218,0.000218,0.000218
92,4389.08,0.28685,0.26009,0.93119,0.84568,0.63725,0.69979,0.54012,0.85182,1.15258,1.55073,0.0001982,0.0001982,0.0001982
93,4435.61,0.28236,0.25768,0.92996,0.82546,0.65995,0.72527,0.56441,0.86178,1.17299,1.56843,0.0001784,0.0001784,0.0001784
94,4482.03,0.27387,0.23586,0.92943,0.83977,0.62791,0.72455,0.56532,0.91248,1.15137,1.66433,0.0001586,0.0001586,0.0001586
95,4528.34,0.26708,0.23885,0.91955,0.77366,0.68605,0.71711,0.56497,0.96159,1.1596,1.7164,0.0001388,0.0001388,0.0001388
96,4574.12,0.26182,0.23078,0.91649,0.78314,0.6719,0.71492,0.56728,0.86445,1.17773,1.56771,0.000119,0.000119,0.000119
97,4621.05,0.26382,0.23749,0.91544,0.81975,0.65116,0.71567,0.57539,0.92013,1.18668,1.66937,9.92e-05,9.92e-05,9.92e-05
98,4667,0.26155,0.23405,0.91393,0.77529,0.68605,0.7172,0.57238,0.91856,1.18825,1.64979,7.94e-05,7.94e-05,7.94e-05
99,4713.18,0.25502,0.22721,0.91214,0.77078,0.67442,0.70417,0.56313,0.91107,1.18227,1.66027,5.96e-05,5.96e-05,5.96e-05
100,4758.7,0.25561,0.23269,0.91719,0.7653,0.68251,0.71628,0.57151,0.89508,1.19748,1.62664,3.98e-05,3.98e-05,3.98e-05
